,rota,atributo,media,desvio padrao,maximo,minimo
0,adc,assists,8.855,3.834,20,0
1,sup,assists,14.778,5.545,35,2
2,mid,assists,8.634,4.12,24,0
3,jg,assists,9.935,4.393,27,0
4,top,assists,7.911,4.1,25,0
5,adc,deaths,5.404,2.371,13,0
6,sup,deaths,6.009,2.618,16,0
7,mid,deaths,5.498,2.611,18,0
8,jg,deaths,6.047,2.487,16,0
9,top,deaths,5.712,2.476,14,0
10,adc,goldEarned,15418.695,2188.95,22311,9105
11,sup,goldEarned,9723.367,1360.612,14575,6528
12,mid,goldEarned,14102.274,2099.909,22963,9419
13,jg,goldEarned,12951.004,2021.694,20274,8514
14,top,goldEarned,13857.104,2297.153,21266,8605
15,adc,kills,7.353,3.933,26,0
16,sup,kills,2.14,1.756,10,0
17,mid,kills,6.839,3.827,29,0
18,jg,kills,6.969,3.976,23,0
19,top,kills,5.263,3.383,19,0
20,adc,longestTimeSpentLiving,740.825,300.408,1913,0
21,sup,longestTimeSpentLiving,681.147,290.012,1814,0
22,mid,longestTimeSpentLiving,737.234,314.326,1918,0
23,jg,longestTimeSpentLiving,685.918,290.104,2014,0
24,top,longestTimeSpentLiving,708.409,306.961,1967,0
25,adc,magicDamageDealt,28244.813,21586.795,157057,0
26,sup,magicDamageDealt,17512.693,10459.686,88488,1274
27,mid,magicDamageDealt,141792.734,62432.05,357302,0
28,jg,magicDamageDealt,37743.389,44146.243,241160,2562
29,top,magicDamageDealt,56739.849,62782.447,273495,0
30,adc,magicalDamageTaken,7778.173,2681.412,17386,1480
31,sup,magicalDamageTaken,8809.718,3245.64,20698,1133
32,mid,magicalDamageTaken,10704.826,4304.881,32319,1599
33,jg,magicalDamageTaken,11042.04,3520.385,24486,3533
34,top,magicalDamageTaken,11377.677,4644.219,31029,1728
35,adc,neutralMinionsKilled,24.751,12.837,73,0
36,sup,neutralMinionsKilled,0.707,1.881,16,0
37,mid,neutralMinionsKilled,19.654,13.09,76,0
38,jg,neutralMinionsKilled,129.873,26.127,224,55
39,top,neutralMinionsKilled,11.998,10.741,57,0
40,adc,physicalDamageDealt,182238.924,45896.177,354209,6381
41,sup,physicalDamageDealt,6192.913,2989.718,20831,1217
42,mid,physicalDamageDealt,33917.623,51730.814,316396,2294
43,jg,physicalDamageDealt,114065.975,55895.511,285464,10266
44,top,physicalDamageDealt,118206.239,80644.504,423356,3130
45,adc,physicalDamageDealtToChampions,21858.556,8017.287,56074,327
46,sup,physicalDamageDealtToChampions,1170.911,755.372,6859,150
47,mid,physicalDamageDealtToChampions,3504.978,6389.461,55669,42
48,jg,physicalDamageDealtToChampions,11888.062,7804.399,37338,252
49,top,physicalDamageDealtToChampions,11086.929,7535.081,38091,101
50,adc,physicalDamageTaken,10866.304,3075.65,21246,3651
51,sup,physicalDamageTaken,11575.771,4001.655,29067,3357
52,mid,physicalDamageTaken,13470.58,5092.332,35993,3130
53,jg,physicalDamageTaken,20907.991,4344.665,37641,10364
54,top,physicalDamageTaken,18587.79,5228.068,41225,5766
55,adc,timeCCingOthers,16.291,11.881,78,0
56,sup,timeCCingOthers,39.991,20.498,149,7
57,mid,timeCCingOthers,26.245,16.941,119,1
58,jg,timeCCingOthers,22.333,18.776,190,0
59,top,timeCCingOthers,27.774,19.82,145,1
60,adc,totalDamageDealt,219892.84,53191.04,463018,109522
61,sup,totalDamageDealt,57467.609,59545.959,201495,8034
62,mid,totalDamageDealt,245745.793,88728.165,519393,82637
63,jg,totalDamageDealt,165800.007,38358.614,315554,87674
64,top,totalDamageDealt,202974.609,70440.377,455516,75602
65,adc,totalDamageDealtToChampions,28422.249,9690.32,80093,7232
66,sup,totalDamageDealtToChampions,10167.615,3979.69,30600,2499
67,mid,totalDamageDealtToChampions,24697.31,8323.205,63892,6491
68,jg,totalDamageDealtToChampions,18064.687,7342.52,43350,3381
69,top,totalDamageDealtToChampions,21541.363,7203.607,47332,6808
70,adc,totalDamageTaken,19594.751,4382.912,35411,8496
71,sup,totalDamageTaken,21549.635,6005.153,40273,7124
72,mid,totalDamageTaken,25528.433,7584.506,59264,8478
73,jg,totalDamageTaken,33641.929,6553.359,58815,14803
74,top,totalDamageTaken,32031.703,7493.821,61570,13143
75,adc,totalHeal,3892.604,1812.076,12362,78
76,sup,totalHeal,6267.218,5554.248,42240,133
77,mid,totalHeal,6848.522,7406.365,45750,0
78,jg,totalHeal,12899.942,5972.653,52596,4097
79,top,totalHeal,7725.325,7961.431,44104,5
80,adc,totalMinionsKilled,265.851,38.09,447,156
81,sup,totalMinionsKilled,37.831,21.773,96,6
82,mid,totalMinionsKilled,239.525,38.266,382,136
83,jg,totalMinionsKilled,43.431,21.099,146,8
84,top,totalMinionsKilled,244.737,41.881,387,128
85,adc,totalTimeCrowdControlDealt,410.351,459.498,6560,0
86,sup,totalTimeCrowdControlDealt,232.807,216.366,1767,29
87,mid,totalTimeCrowdControlDealt,880.995,1886.925,11918,14
88,jg,totalTimeCrowdControlDealt,663.089,277.865,2535,12
89,top,totalTimeCrowdControlDealt,936.755,1655.735,13595,40
90,adc,trueDamageDealt,9408.395,23955.532,175991,0
91,sup,trueDamageDealt,33761.096,59925.771,173673,0
92,mid,trueDamageDealt,70034.594,71886.75,194648,0
93,jg,trueDamageDealt,13989.758,9126.62,53696,3514
94,top,trueDamageDealt,28027.693,48891.374,175060,0
95,adc,trueDamageDealtToChampions,1008.062,1411.622,14562,0
96,sup,trueDamageDealtToChampions,965.98,551.007,3166,0
97,mid,trueDamageDealtToChampions,905.989,1261.143,7948,0
98,jg,trueDamageDealtToChampions,2008.853,1854.271,12800,0
99,top,trueDamageDealtToChampions,1996.947,2736.489,19449,0
100,adc,trueDamageTaken,949.424,851.394,6715,0
101,sup,trueDamageTaken,1163.271,996.888,7792,0
102,mid,trueDamageTaken,1352.199,1095.434,7213,0
103,jg,trueDamageTaken,1691.035,1541.615,13888,0
104,top,trueDamageTaken,2065.387,1693.613,10211,0
105,adc,visionScore,32.938,10.837,68,9
106,sup,visionScore,75.2,15.552,123,24
107,mid,visionScore,33.37,10.959,95,12
108,jg,visionScore,43.696,13.312,95,14
109,top,visionScore,30.018,9.066,78,8
110,adc,visionWardsBoughtInGame,2.747,2.124,14,0
111,sup,visionWardsBoughtInGame,11.713,4.274,26,1
112,mid,visionWardsBoughtInGame,3.821,2.254,13,0
113,jg,visionWardsBoughtInGame,6.293,3.253,20,0
114,top,visionWardsBoughtInGame,2.622,1.916,11,0
115,adc,wardsPlaced,13.495,3.412,26,4
116,sup,wardsPlaced,42.062,9.493,79,14
117,mid,wardsPlaced,16.801,7.568,52,3
118,jg,wardsPlaced,18.891,10.613,56,2
119,top,wardsPlaced,15.726,4.435,35,2
